"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","handles single character names","chatUtils","Tue Dec 09 21:48:48 UTC 2025","passed","Tue Dec 09 21:48:48 UTC 2025","","getInitials","",""
"","1","logout clears tokens and state","AuthService","Tue Dec 09 21:48:45 UTC 2025","passed","Tue Dec 09 21:48:45 UTC 2025","","","",""
"","38","renders own message on the right with primary color","MessageBubble.vue","Tue Dec 09 21:48:45 UTC 2025","passed","Tue Dec 09 21:48:45 UTC 2025","","","",""
"","10","init loads chats and connects signalr","Chat Store","Tue Dec 09 21:48:42 UTC 2025","passed","Tue Dec 09 21:48:42 UTC 2025","","","",""
"","5","does not emit if disabled (disconnected)","ChatInput.vue","Tue Dec 09 21:48:44 UTC 2025","passed","Tue Dec 09 21:48:44 UTC 2025","","","",""
"","7","calls store.sendMessage when input emits send","ChatView.vue","Tue Dec 09 21:48:44 UTC 2025","passed","Tue Dec 09 21:48:44 UTC 2025","","","",""
"","37","redirects to home on success","LoginView.vue","Tue Dec 09 21:48:47 UTC 2025","passed","Tue Dec 09 21:48:47 UTC 2025","","","",""
"","0","caps height at 150px","useAutoResize","Tue Dec 09 21:48:48 UTC 2025","passed","Tue Dec 09 21:48:48 UTC 2025","","","",""
"","15","emits select event when chat is clicked","ChatSidebar.vue","Tue Dec 09 21:48:44 UTC 2025","passed","Tue Dec 09 21:48:44 UTC 2025","","","",""
"","132","scrolls to bottom on mount","MessageList.vue","Tue Dec 09 21:48:47 UTC 2025","passed","Tue Dec 09 21:48:47 UTC 2025","","","",""
"","13","renders image attachment","MessageBubble.vue","Tue Dec 09 21:48:45 UTC 2025","passed","Tue Dec 09 21:48:45 UTC 2025","","","",""
"","26","returns time in HH:MM format","chatUtils","Tue Dec 09 21:48:48 UTC 2025","passed","Tue Dec 09 21:48:48 UTC 2025","","formatTime","",""
"","8","clears input after sending","ChatInput.vue","Tue Dec 09 21:48:44 UTC 2025","passed","Tue Dec 09 21:48:44 UTC 2025","","","",""
"","44","renders sidebar","ChatView.vue","Tue Dec 09 21:48:44 UTC 2025","passed","Tue Dec 09 21:48:44 UTC 2025","","","",""
"","71","renders trigger button","CreateChatDialog.vue","Tue Dec 09 21:48:47 UTC 2025","passed","Tue Dec 09 21:48:47 UTC 2025","","","",""
"","4","sendMessage uploads file and invokes signalr","Chat Store","Tue Dec 09 21:48:42 UTC 2025","passed","Tue Dec 09 21:48:42 UTC 2025","","","",""
